TranscriptID	TranscriptAbundance	GeneAbundance
chr10:63952955-64028466.1	4.495	16.929
chr10:63952955-64028466.2	8.1418	16.929
NM_145307	4.2922	16.929
NM_033554	7.23	7.23
NM_014077	81.7749	81.7749
NM_020444	59.6118	59.6118
chr11:82783744-82784344.1	13.16	13.16
NM_138774	111.4008	111.4008
NM_144723	76.4239	76.4239
NM_001003692	9.3653	29.0931
chr22:30116343-30162969.3	19.7278	29.0931
NM_024645	8.2962	8.2962
NM_001135731	0.0	8.2962
chr19:1275519-1279242.1	59.3068	59.3068
NM_152482	32.4898	32.4898
chr17:38218445-38256973.6	4.8755	9.497
NM_021724	4.6214	9.497
NM_001145425	5.8184	5.8184
NM_002466	276.4527	276.4527
NM_022334	2.3598	24.3376
chr2:9545822-9563643.5	17.2937	24.3376
NM_004763	4.6841	24.3376
chr9:98568371-98732857.13	3.196	3.196
chr8:146052902-146068605.5	1.3403	13.1358
chr8:146052902-146068605.12	2.0335	13.1358
NM_003416	9.7619	13.1358
NM_021088	0.9122	0.9122
chr7:99647416-99679923.17	16.2679	32.933
NM_017715	16.6652	32.933
chr20:56072223-56100154.12	0.0653	0.1312
NM_080618	0.066	0.1312
chr19:58816811-58817456.5	20.955	24.9606
NM_021089	4.0056	24.9606
chr11:8932700-8954553.7	13.2704	26.6617
NM_182901	1.1984	26.6617
chr11:8932700-8954553.2	12.1929	26.6617
NM_014206	710.393	710.393
chr7:155436298-155436907.1	6.2209	6.2209
NM_001253	25.6476	25.6476
NM_006908	188.0069	188.0069
NM_016038	13.4031	13.4031
NM_003373	142.4106	142.4106
NM_018323	5.1764	5.1764
NM_181837	1.1999	26.4386
NM_012381	13.2194	26.4386
chr6:88299842-88377166.14	6.6122	26.4386
chr6:88299842-88377166.9	5.4071	26.4386
chr19:19672523-19729439.4	0.5584	1.9404
chr19:19672523-19729439.3	0.7437	1.9404
chr19:19672523-19729439.1	0.6383	1.9404
NM_001828	3.17	3.17
NM_006195	8.1734	18.5277
NR_024122	4.3488	18.5277
chr9:128509616-128729653.3	6.0055	18.5277
NM_002585	49.6476	49.6476
NM_022072	2.3179	2.3179
NM_017755	37.4795	48.443
NM_001193455	10.9635	48.443
NM_148956	0.0	27.3201
NM_018044	5.183	27.3201
chr7:72716513-72722864.18	22.137	27.3201
NM_001168347	0.0	27.3201
NM_199044	4.4854	9.477
chr1:46806389-46830690.2	4.9915	9.477
chr4:40751913-40812000.15	18.6571	18.6571
chr10:18834263-18940550.2	2.4553	8.1938
NM_182543	4.84	8.1938
chr10:18944104-18948160.1	0.8986	8.1938
NM_001070	81.0715	81.0715
NM_016437	8.4752	8.4752
chr7:128355442-128371797.10	2.1101	8.2934
chr7:128355442-128371797.12	6.1833	8.2934
chr5:33440897-33468194.8	24.1564	143.877
NM_152295	119.7206	143.877
NM_006351	92.8493	92.8493
NM_003321	391.6735	391.6735
NM_016570	11.279	11.279
NM_015703	9.3355	9.3355
NR_002184	3.4234	3.4234
NM_001031711	86.8994	86.8994
NM_022753	15.9539	15.9539
NM_012200	47.4908	47.4908
chrX:93953008-93957005.1	0.7932	3.2144
chrX:93953008-93957005.2	2.4212	3.2144
NM_018340	3.0416	3.0416
NM_004182	102.7499	102.7499
NM_001743	304.9658	304.9658
NM_005184	511.4099	511.4099
NM_001127889	36.7565	61.0691
NM_016630	24.3126	61.0691
NM_001142295	13.9913	13.9913
NM_006952	0.4571	0.4571
NM_004746	2.5585	6.3976
chr18:3498836-3880135.2	3.8391	6.3976
NM_001042486	43.7779	43.7779
NM_001146015	5.0702	47.0206
NM_014750	41.9504	47.0206
NM_024326	7.4559	18.5841
chr10:104179570-104182893.3	11.1282	18.5841
chr13:97874573-98046372.1	0.1381	0.8287
chr13:97874573-98046372.2	0.6906	0.8287
NM_001170703	0.5352	0.5352
NM_130786	9.0328	9.0328
NM_007280	29.4636	29.4636
NM_173872	3.0914	12.6751
NM_001829	9.5837	12.6751
chr1:11866206-11903200.1	10.0083	10.0083
NM_001127898	0.8818	2.9764
NM_001127899	0.5493	2.9764
NM_000084	1.5453	2.9764
NR_027633	8.4771	23.9819
chr5:863850-892939.16	15.5048	23.9819
NM_013263	42.8248	59.793
NM_001173984	16.9682	59.793
chr2:238536223-238690288.1	29.6935	29.6935
NM_005880	19.3592	61.4539
chr16:46989273-47007625.14	42.0947	61.4539
NM_001135110	40.8088	54.0278
NM_005147	13.219	54.0278
NM_001539	138.8304	138.8304
NM_001131008	21.3099	49.7936
chr7:77166772-77269388.1	28.4837	49.7936
NM_012333	15.7271	15.7271
NM_017816	3.9969	41.7972
chr4:4269430-4291896.3	11.1698	41.7972
NM_001145725	26.6304	41.7972
NM_152308	77.5405	77.5405
NM_016504	113.3367	113.3367
chr19:17516796-17516885.2	12.8874	12.8874
NM_017971	258.4245	258.4245
chr19:36803872-36806858.1	70.1805	70.1805
NM_001014990	0.3371	13.8374
NM_014180	13.5003	13.8374
NM_020408	64.71	65.7044
NM_001164840	0.9944	65.7044
NM_006428	157.0522	157.0522
chr19:35340453-35351077.1	2.4666	7.8352
chr19:35340453-35351077.2	5.3685	7.8352
NM_014282	9.4616	9.4616
NM_001193552	2.0881	2.0881
chr2:85048797-85108252.1	9.4895	9.4895
NM_001042519	0.3504	0.3504
NM_201537	6.9713	26.5023
NM_201540	19.531	26.5023
NM_032013	27.0932	27.0932
NM_017894	6.335	32.4379
NM_001007072	12.9197	32.4379
chr15:85144248-85166948.4	5.4108	32.4379
NM_181877	7.7724	32.4379
NM_001039465	18.597	195.3308
NM_006925	176.7337	195.3308
NM_005626	73.0343	73.0343
NM_001031684	129.0831	142.4415
NM_001195446	13.3584	142.4415
NM_006275	64.9936	64.9936
NM_001078166	20.0152	97.196
NM_006924	77.1809	97.196
NM_004284	19.0295	29.4427
chr1:146714290-146767441.16	5.4254	29.4427
chr1:146714290-146767441.18	4.9877	29.4427
NM_003017	173.9834	186.1588
NR_036610	12.1754	186.1588
NM_033379	0.5752	34.3906
NM_001170407	1.8605	34.3906
NM_001786	31.9549	34.3906
NM_003769	284.8048	284.8048
NR_036521	0.6906	24.9404
NR_036522	8.1215	24.9404
chr19:56989242-57008669.2	16.1282	24.9404
NM_018434	74.4333	74.4333
chr10:74092587-74114907.1	15.1026	22.003
NM_017626	6.9004	22.003
NM_016306	63.2743	63.2743
NM_002123	2.1356	2.1356
NM_032322	9.4526	9.4526
NM_001031723	4.5901	4.5901
NM_001191324	0.6503	11.9339
NM_016271	11.2836	11.9339
NM_007218	6.8167	6.8167
NM_001008388	13.6099	13.6099
NM_001136498	56.8296	56.8296
NM_018464	16.0015	16.0015
NM_001293	105.9455	105.9455
chr5:176057682-176073642.1	0.4203	1.2877
chr5:176057682-176073642.3	0.8673	1.2877
chr1:143718512-143744587.8	7.821	32.1548
chr1:143718512-143744587.1	6.7544	32.1548
chr1:143718512-143744587.4	11.1002	32.1548
chr1:143718512-143744587.7	6.4792	32.1548
NM_001260	11.1816	14.9088
chr13:26828755-26978569.2	3.7272	14.9088
NM_001159861	0.2193	0.5155
NM_152478	0.2962	0.5155
chr19:56894647-56904889.1	2.5243	2.5243
NM_001184718	0.4122	1.5764
NM_015508	1.1642	1.5764
NM_173548	2.4268	2.4268
NM_017652	5.087	5.087
chr3:48282595-48327735.7	6.8787	64.783
NM_016089	57.9043	64.783
NM_031422	5.8671	5.8671
NM_172226	23.7993	23.7993
NM_178232	94.825	94.825
NM_001114184	0.5894	10.3527
chr6:153308400-153323925.3	2.4994	10.3527
NM_019041	7.2639	10.3527
NM_016476	55.1711	308.9289
NM_001002248	111.5666	308.9289
NM_001002247	52.4553	308.9289
NM_001002246	42.3704	308.9289
NM_001002245	47.3655	308.9289
chr12:30949150-30952846.1	4.4414	4.4414
NM_001001	426.6764	426.6764
NM_152272	18.6297	24.5438
chr8:23101149-23119512.3	5.9141	24.5438
NM_024591	17.6093	17.6093
chr9:33264876-33289210.1	9.73	23.9869
NM_016410	14.2569	23.9869
NM_170725	3.2513	3.5626
NM_001017434	0.3114	3.5626
chrX:16606123-16731059.3	5.7455	22.4006
NM_019857	4.0483	22.4006
NM_175859	10.1749	22.4006
chrX:16606123-16731059.1	2.4319	22.4006
NM_032507	4.4351	4.4351
NM_006336	13.6032	21.7033
chr9:131492066-131534198.10	8.1002	21.7033
NM_032483	8.4206	30.1067
NM_001102559	7.6773	30.1067
NM_001102560	14.0089	30.1067
NM_014679	20.1236	27.7539
chr11:95523641-95565854.20	7.6303	27.7539
NM_020940	3.2062	3.2062
NM_198516	7.9425	7.9425
NM_006005	27.3633	38.3088
NM_001145853	10.9454	38.3088
NM_020692	5.2532	5.2532
NM_207333	5.1458	5.1458
NR_024165	0.5661	2.1195
NM_001135216	1.5533	2.1195
NM_003130	64.5285	64.5285
NM_003132	295.0937	295.0937
NM_021947	26.5191	26.5191
chr1:236681564-236767841.29	1.473	5.8203
chr1:236681564-236767841.3	4.3473	5.8203
NM_002306	11.52	12.1752
NR_003225	0.6553	12.1752
NM_002305	33.7122	33.7122
NR_001578	0.5655	0.5655
NM_018064	60.2168	60.2168
NM_024595	147.1513	147.1513
NM_014413	48.5985	48.5985
NM_004836	8.3382	8.3382
chr15:52211340-52214912.1	0.9734	0.9734
NM_003211	21.8931	21.8931
NM_016185	233.4399	233.4399
NM_021077	20.3627	20.3627
chr10:99437180-99447015.2	8.7034	13.3452
NM_021732	4.6418	13.3452
chr3:3168599-3190777.30	7.6014	21.407
chr3:3168599-3190777.9	3.5032	21.407
NM_182916	10.3024	21.407
NM_004688	4.4146	4.4146
NM_001005376	1.9339	14.3203
NM_001005377	0.0	14.3203
NM_002659	12.3864	14.3203
chr10:134145613-134195010.19	1.0927	2.7051
chr10:134145613-134195010.20	1.6124	2.7051
NM_020890	8.2508	10.5123
chr3:108268719-108413692.5	2.2616	10.5123
chr12:7013896-7023405.3	1.5096	3.4214
chr12:7013896-7023405.1	1.9118	3.4214
NR_024603	1.8288	42.3677
NM_004870	40.5389	42.3677
chr6:48066534-48069862.1	2.76	2.76
NM_144598	10.3058	10.3058
NM_022463	97.6941	97.6941
NM_006335	30.9831	30.9831
NM_001097636	1.0156	5.6139
NM_001490	2.5747	5.6139
NM_001097633	2.0236	5.6139
NM_001491	12.7502	16.8179
NM_145655	4.0677	16.8179
NR_023938	17.2294	17.2294
NM_005768	57.3697	57.3697
NM_001098790	105.8853	166.7616
NM_021242	60.8763	166.7616
NM_004855	2.6209	2.6209
NM_153747	14.8554	18.3087
NM_002642	3.4533	18.3087
NM_002643	20.1485	20.1485
NM_001127178	4.2721	10.5343
chr4:419223-533319.7	6.2621	10.5343
chr14:68000007-68067017.3	0.9005	5.4029
NM_004569	4.5024	5.4029
NM_005482	3.3852	3.3852
NM_004278	7.1704	9.9953
chr17:16120508-16229572.2	2.8249	9.9953
NM_153682	2.8391	8.6979
NR_028352	4.0268	8.6979
NM_153681	1.832	8.6979
chr16:620003-634108.20	10.7802	18.5679
chr16:620003-634108.22	4.0912	18.5679
chr16:620003-634108.19	3.6965	18.5679
chr2:191371619-191399468.1	0.6064	2.0272
NM_001142645	1.4208	2.0272
NM_030768	31.6168	31.6168
chr2:204193002-204296891.5	22.8034	46.3791
NM_005759	23.5757	46.3791
NM_018081	17.4647	41.3602
NM_001143992	23.8955	41.3602
NM_178517	9.2333	9.2333
NM_032906	4.4271	34.6586
NM_001042616	30.2315	34.6586
NM_017909	10.2648	12.3139
chr6:151725988-151773316.3	2.0491	12.3139
chr7:27779737-27869384.24	11.3002	42.3048
chr7:27779737-27869384.14	12.1697	42.3048
NM_006024	3.4447	42.3048
NM_001079864	15.3901	42.3048
chr10:118592884-118594445.1	1.8141	1.8141
NM_014604	89.0603	89.0603
NM_033103	20.4386	20.4386
NM_005839	93.4489	93.4489
chr2:173420778-173463860.1	9.7561	9.7561
NM_005391	4.26	9.1573
NM_001142386	4.8972	9.1573
NM_002611	22.0925	22.0925
NM_006579	160.8144	160.8144
NM_001163788	17.9625	17.9625
chr6:87865268-87973404.1	4.5671	4.5671
NM_013336	151.7613	151.7613
NM_018144	11.1044	11.1044
NM_000478	310.1908	322.6366
NM_001127501	12.4458	322.6366
chr1:62146718-62191095.2	3.4288	11.277
NM_032027	7.8482	11.277
NM_018441	4.7751	10.8652
chr2:216903110-216946539.2	6.0901	10.8652
NM_078474	8.9189	17.5521
NM_025141	8.6332	17.5521
chr15:80352020-80430710.12	50.5016	70.0778
NM_019006	19.5762	70.0778
NM_078480	0.0	196.71
NM_014281	108.8008	196.71
NM_001136033	87.9092	196.71
NM_021943	37.7242	37.7242
NM_001170797	18.3055	24.3792
NM_024699	3.5408	24.3792
NR_033196	0.0	24.3792
NR_033194	0.0	24.3792
NR_033195	2.533	24.3792
NM_006117	30.3767	76.532
chr6:4079439-4135831.7	11.6475	76.532
NM_206836	34.5079	76.532
NM_020342	54.2891	54.2891
NM_139177	8.2186	8.2186
chr22:22652462-22677324.3	18.3925	25.5089
chr22:22652462-22677324.1	7.1164	25.5089
NM_001128431	82.5272	82.5272
NM_001412	33.7608	33.7608
NM_004681	15.7687	15.7687
NM_018364	3.0765	3.0765
NM_002337	92.5787	92.5787
chr19:12936296-12949082.3	4.0351	4.0351
NM_005870	105.6765	105.6765
NM_005903	8.5992	8.5992
NM_030672	2.8002	2.8002
chr2:177134122-177202751.13	10.4048	36.8028
NM_006554	26.08	36.8028
NR_027850	0.3179	36.8028
NM_004083	4.1449	7.8815
NM_001195055	0.5577	7.8815
NM_001195057	0.6176	7.8815
NM_001195056	2.5614	7.8815
NM_019058	116.1101	116.1101
NM_001143914	3.7224	3.7224
NM_001173488	6.2672	6.2672
NM_005901	3.654	25.3586
chr18:45359466-45457515.3	6.3169	25.3586
chr18:45359466-45457515.1	15.3877	25.3586
NM_016076	41.0347	41.0347
NM_015704	41.7319	41.7319
NM_012213	12.5822	12.5822
NM_001039477	7.8847	19.2921
NM_004848	1.1968	19.2921
NM_001105556	10.2106	19.2921
NM_130850	0.7159	4.1709
NM_001202	3.455	4.1709
chr14:58894709-59015548.6	4.7908	4.7908
NM_001012985	27.4688	27.4688
NM_183353	2.4411	7.8348
NM_016120	5.3937	7.8348
NM_024319	37.2367	37.2367
NM_020177	4.2672	4.2672
NM_003218	119.8057	208.5287
NM_017489	88.723	208.5287
NM_152686	5.3768	5.3768
NR_028301	0.974	0.974
NM_005447	0.2755	0.2755
chr12:26111963-26232824.3	2.3247	9.1943
chr12:26111963-26232824.1	6.8696	9.1943
NM_170713	11.4416	11.4416
NM_175732	31.0444	31.0444
NM_006731	1.8591	1.8591
NM_032023	10.2876	10.2876
NM_001143993	29.8144	29.8144
NM_001010861	1.6529	1.6529
chr5:180673882-180674115.2	6.292	10.6563
chr5:180673882-180674115.1	4.3643	10.6563
NM_017838	387.84	393.7557
NM_001034833	5.9156	393.7557
NM_207299	1.2485	1.2485
NM_005174	10.4171	168.2802
NM_001001973	157.8631	168.2802
NM_001042572	9.8027	9.8027
NM_024026	45.0384	45.0384
NM_006367	82.091	123.8458
chr1:40506254-40538323.7	25.0825	123.8458
NM_001105530	16.6723	123.8458
NM_006366	4.9722	4.9722
NM_006432	231.3243	231.3243
NM_178496	8.3423	8.3423
NM_004623	22.0541	22.0541
chr5:159436179-159492549.12	21.3622	71.3643
NM_003314	50.0021	71.3643
NM_001171747	0.0	7.5886
NM_024616	7.5886	7.5886
NM_015351	20.918	20.918
chr14:89290977-89344334.3	4.0494	8.2132
NM_198310	2.3503	8.2132
NM_198309	1.8135	8.2132
chr3:161062580-161102611.1	1.9295	6.718
NM_001040100	4.7885	6.718
NM_004058	2.8301	2.8301
NM_016141	19.764	24.3708
chr3:32567464-32612366.3	4.6068	24.3708
NM_006141	27.337	27.337
NM_025184	0.9055	1.108
chrX:44007128-44202923.1	0.2026	1.108
NM_018100	2.8755	4.6817
chr6:52284993-52360581.2	1.8063	4.6817
NM_001747	69.0591	69.0591
chr2:73956956-73964517.7	8.1519	43.1569
NM_016058	35.005	43.1569
chr19:44010871-44031396.2	8.2717	40.7511
NM_014297	32.4794	40.7511
NM_001015052	72.0823	75.3166
NM_002434	3.2343	75.3166
chr4:89011416-89080356.1	1.6258	1.9424
NM_004827	0.3166	1.9424
chr17:7284364-7298226.21	17.5295	58.9124
chr17:7284364-7298226.12	16.1438	58.9124
chr17:7284364-7298226.33	25.2391	58.9124
chr3:146232967-146262628.5	16.7654	28.2272
NM_021105	11.4618	28.2272
chr15:75182409-75190565.5	10.3985	43.3405
NM_002435	32.942	43.3405
NM_000147	4.9592	4.9592
chr8:6264112-6501140.3	3.4227	6.9791
NM_001172574	3.5564	6.9791
chr1:23345940-23410184.29	35.2664	188.5992
